method,n_components,k,n_classifiers,accuracy,precision,recall,f1_score,total_misclassified,misclassified_indices
random,50,3,10,0.9294,0.9304073647723365,0.9294,0.928790766238098,706,[ 47  59  70  78  81  85 101 118 127 147]
random,50,3,20,0.9294,0.9304073647723365,0.9294,0.928790766238098,706,[ 47  59  70  78  81  85 101 118 127 147]
random,50,3,30,0.9294,0.9304073647723365,0.9294,0.928790766238098,706,[ 47  59  70  78  81  85 101 118 127 147]
random,50,5,10,0.9328,0.933608512286742,0.9328,0.9321363634606429,672,[ 47  59  70  81  85 118 127 147 148 158]
random,50,5,20,0.9328,0.933608512286742,0.9328,0.9321363634606429,672,[ 47  59  70  81  85 118 127 147 148 158]
random,50,5,30,0.9328,0.933608512286742,0.9328,0.9321363634606429,672,[ 47  59  70  81  85 118 127 147 148 158]
random,50,10,10,0.9414,0.9421306419801667,0.9414,0.9407897340092388,586,[ 59  81 118 127 147 171 195 226 237 242]
random,50,10,20,0.9414,0.9421306419801667,0.9414,0.9407897340092388,586,[ 59  81 118 127 147 171 195 226 237 242]
random,50,10,30,0.9414,0.9421306419801667,0.9414,0.9407897340092388,586,[ 59  81 118 127 147 171 195 226 237 242]
random,50,15,10,0.9448,0.9458507024316801,0.9448,0.9442892745586139,552,[ 59  81  85 118 127 147 171 195 226 237]
random,50,15,20,0.9448,0.9458507024316801,0.9448,0.9442892745586139,552,[ 59  81  85 118 127 147 171 195 226 237]
random,50,15,30,0.9448,0.9458507024316801,0.9448,0.9442892745586139,552,[ 59  81  85 118 127 147 171 195 226 237]
random,100,3,10,0.9699,0.9701114232942691,0.9699,0.9698642716560267,301,[ 59  81 118 151 226 237 275 305 356 444]
random,100,3,20,0.9699,0.9701114232942691,0.9699,0.9698642716560267,301,[ 59  81 118 151 226 237 275 305 356 444]
random,100,3,30,0.9699,0.9701114232942691,0.9699,0.9698642716560267,301,[ 59  81 118 151 226 237 275 305 356 444]
random,100,5,10,0.9719,0.9720566276783066,0.9719,0.9718530334865846,281,[ 59  81 118 151 200 226 237 275 305 356]
random,100,5,20,0.9719,0.9720566276783066,0.9719,0.9718530334865846,281,[ 59  81 118 151 200 226 237 275 305 356]
random,100,5,30,0.9719,0.9720566276783066,0.9719,0.9718530334865846,281,[ 59  81 118 151 200 226 237 275 305 356]
random,100,10,10,0.9757,0.9758795990128986,0.9757,0.9756533824700189,243,[ 37  46  59  81 151 226 237 305 356 394]
random,100,10,20,0.9757,0.9758795990128986,0.9757,0.9756533824700189,243,[ 37  46  59  81 151 226 237 305 356 394]
random,100,10,30,0.9757,0.9758795990128986,0.9757,0.9756533824700189,243,[ 37  46  59  81 151 226 237 305 356 394]
random,100,15,10,0.9782,0.9784104532121092,0.9782,0.9781761799086466,218,[ 37  46  59 151 226 237 275 305 356 394]
random,100,15,20,0.9782,0.9784104532121092,0.9782,0.9781761799086466,218,[ 37  46  59 151 226 237 275 305 356 394]
random,100,15,30,0.9782,0.9784104532121092,0.9782,0.9781761799086466,218,[ 37  46  59 151 226 237 275 305 356 394]
random,200,3,10,0.98,0.9800773933080335,0.98,0.9799926542107098,200,[ 37  46  59 226 275 305 598 675 799 810]
random,200,3,20,0.98,0.9800773933080335,0.98,0.9799926542107098,200,[ 37  46  59 226 275 305 598 675 799 810]
random,200,3,30,0.98,0.9800773933080335,0.98,0.9799926542107098,200,[ 37  46  59 226 275 305 598 675 799 810]
random,200,5,10,0.9798,0.9798664515931479,0.9798,0.9797844636633588,202,[ 37  46  59 226 305 531 532 551 598 631]
random,200,5,20,0.9798,0.9798664515931479,0.9798,0.9797844636633588,202,[ 37  46  59 226 305 531 532 551 598 631]
random,200,5,30,0.9798,0.9798664515931479,0.9798,0.9797844636633588,202,[ 37  46  59 226 305 531 532 551 598 631]
random,200,10,10,0.9826,0.9827356158601654,0.9826,0.9826117271994188,174,[ 37  46  59 151 226 237 305 531 551 598]
random,200,10,20,0.9826,0.9827356158601654,0.9826,0.9826117271994188,174,[ 37  46  59 151 226 237 305 531 551 598]
random,200,10,30,0.9826,0.9827356158601654,0.9826,0.9826117271994188,174,[ 37  46  59 151 226 237 305 531 551 598]
random,200,15,10,0.9834,0.983607962279997,0.9834,0.9834208234050882,166,[ 37  46  59 151 226 237 424 551 598 622]
random,200,15,20,0.9834,0.983607962279997,0.9834,0.9834208234050882,166,[ 37  46  59 151 226 237 424 551 598 622]
random,200,15,30,0.9834,0.983607962279997,0.9834,0.9834208234050882,166,[ 37  46  59 151 226 237 424 551 598 622]
pca,50,3,10,0.9824,0.9826279851293015,0.9824,0.9824570566446017,176,[ 59 151 169 226 237 275 305 470 531 598]
pca,50,3,20,0.9824,0.9826279851293015,0.9824,0.9824570566446017,176,[ 59 151 169 226 237 275 305 470 531 598]
pca,50,3,30,0.9824,0.9826279851293015,0.9824,0.9824570566446017,176,[ 59 151 169 226 237 275 305 470 531 598]
pca,50,5,10,0.9841,0.984380362992556,0.9841,0.9841589815249934,159,[ 59 151 226 275 305 426 551 645 727 799]
pca,50,5,20,0.9841,0.984380362992556,0.9841,0.9841589815249934,159,[ 59 151 226 275 305 426 551 645 727 799]
pca,50,5,30,0.9841,0.984380362992556,0.9841,0.9841589815249934,159,[ 59 151 226 275 305 426 551 645 727 799]
pca,50,10,10,0.9854,0.9856600301056513,0.9854,0.9854526797446975,146,[ 59 151 226 237 275 305 551 598 727 799]
pca,50,10,20,0.9854,0.9856600301056513,0.9854,0.9854526797446975,146,[ 59 151 226 237 275 305 551 598 727 799]
pca,50,10,30,0.9854,0.9856600301056513,0.9854,0.9854526797446975,146,[ 59 151 226 237 275 305 551 598 727 799]
pca,50,15,10,0.9853,0.985635331231119,0.9853,0.985365883447806,147,[ 59 151 226 237 275 305 551 598 727 728]
pca,50,15,20,0.9853,0.985635331231119,0.9853,0.985365883447806,147,[ 59 151 226 237 275 305 551 598 727 728]
pca,50,15,30,0.9853,0.985635331231119,0.9853,0.985365883447806,147,[ 59 151 226 237 275 305 551 598 727 728]
pca,100,3,10,0.9818,0.9819643655115646,0.9818,0.9818365722022514,182,[ 37  59 151 226 237 305 424 470 531 551]
pca,100,3,20,0.9818,0.9819643655115646,0.9818,0.9818365722022514,182,[ 37  59 151 226 237 305 424 470 531 551]
pca,100,3,30,0.9818,0.9819643655115646,0.9818,0.9818365722022514,182,[ 37  59 151 226 237 305 424 470 531 551]
pca,100,5,10,0.9837,0.9839768803026262,0.9837,0.9837527549901773,163,[ 37  59 151 200 226 237 275 305 424 551]
pca,100,5,20,0.9837,0.9839768803026262,0.9837,0.9837527549901773,163,[ 37  59 151 200 226 237 275 305 424 551]
pca,100,5,30,0.9837,0.9839768803026262,0.9837,0.9837527549901773,163,[ 37  59 151 200 226 237 275 305 424 551]
pca,100,10,10,0.9852,0.9854626363277106,0.9852,0.9852550155435478,148,[ 37  59 151 226 237 275 305 551 598 799]
pca,100,10,20,0.9852,0.9854626363277106,0.9852,0.9852550155435478,148,[ 37  59 151 226 237 275 305 551 598 799]
pca,100,10,30,0.9852,0.9854626363277106,0.9852,0.9852550155435478,148,[ 37  59 151 226 237 275 305 551 598 799]
pca,100,15,10,0.9856,0.9859743377591731,0.9856,0.9856723007623459,144,[ 59 151 226 237 275 551 598 727 799 810]
pca,100,15,20,0.9856,0.9859743377591731,0.9856,0.9856723007623459,144,[ 59 151 226 237 275 551 598 727 799 810]
pca,100,15,30,0.9856,0.9859743377591731,0.9856,0.9856723007623459,144,[ 59 151 226 237 275 551 598 727 799 810]
pca,200,3,10,0.9823,0.9825737104675062,0.9823,0.982352353088896,177,[ 37  59 151 226 275 378 531 551 598 793]
pca,200,3,20,0.9823,0.9825737104675062,0.9823,0.982352353088896,177,[ 37  59 151 226 275 378 531 551 598 793]
pca,200,3,30,0.9823,0.9825737104675062,0.9823,0.982352353088896,177,[ 37  59 151 226 275 378 531 551 598 793]
pca,200,5,10,0.984,0.9842509181795018,0.984,0.9840536816206057,160,[ 37  59  61 151 226 237 275 551 598 810]
pca,200,5,20,0.984,0.9842509181795018,0.984,0.9840536816206057,160,[ 37  59  61 151 226 237 275 551 598 810]
pca,200,5,30,0.984,0.9842509181795018,0.984,0.9840536816206057,160,[ 37  59  61 151 226 237 275 551 598 810]
pca,200,10,10,0.9851,0.985421982853354,0.9851,0.9851647857034687,149,[ 37  59 151 226 237 275 531 551 598 727]
pca,200,10,20,0.9851,0.985421982853354,0.9851,0.9851647857034687,149,[ 37  59 151 226 237 275 531 551 598 727]
pca,200,10,30,0.9851,0.985421982853354,0.9851,0.9851647857034687,149,[ 37  59 151 226 237 275 531 551 598 727]
pca,200,15,10,0.9848,0.9852633132119641,0.9848,0.984887881864369,152,[ 59 151 226 237 275 531 551 598 727 799]
pca,200,15,20,0.9848,0.9852633132119641,0.9848,0.984887881864369,152,[ 59 151 226 237 275 531 551 598 727 799]
pca,200,15,30,0.9848,0.9852633132119641,0.9848,0.984887881864369,152,[ 59 151 226 237 275 531 551 598 727 799]
